Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Mini-Tn7 delivery vector pUC18T-mini-Tn7T-Gm-ecfp, complete sequence",Mini-Tn7 delivery vector pUC18T-mini-Tn7T-Gm-ecfp,196,196,9%,6e-45,98.23,5864,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/DQ493878.2?report=genbank&log$=nucltop&blast_rank=69&RID=0G4K545F013"",""DQ493878.2"")"
"Mini-Tn7 delivery vector pUC18-mini-Tn7T-Gm-lacZ30, complete sequence",Mini-Tn7 delivery vector pUC18-mini-Tn7T-Gm-lacZ30,196,196,9%,6e-45,98.23,7430,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/DQ296496.1?report=genbank&log$=nucltop&blast_rank=70&RID=0G4K545F013"",""DQ296496.1"")"
"Cloning vector pX1918GT, complete cds",Cloning vector pX1918GT,196,196,9%,6e-45,96.64,5154,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/U17502.1?report=genbank&log$=nucltop&blast_rank=71&RID=0G4K545F013"",""U17502.1"")"
"Cloning vector pHT9, complete sequence",Cloning vector pHT9,196,196,9%,6e-45,98.23,12246,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PQ310743.1?report=genbank&log$=nucltop&blast_rank=72&RID=0G4K545F013"",""PQ310743.1"")"
"Cloning vector pUC18T-mini-Tn7T-Gm-Pc-TagBFP, complete sequence",Cloning vector pUC18T-mini-Tn7T-Gm-Pc-TagBFP,196,196,9%,6e-45,98.23,5469,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ253288.1?report=genbank&log$=nucltop&blast_rank=73&RID=0G4K545F013"",""OQ253288.1"")"
"Mutant Acinetobacter baumannii strain A424-BR2 clone 11 insertion sequence ISAba11-aacC1, complete sequence; and ABC-multi efflux pump gene, partial cds",Acinetobacter baumannii,196,196,9%,6e-45,98.23,3886,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JN819200.1?report=genbank&log$=nucltop&blast_rank=74&RID=0G4K545F013"",""JN819200.1"")"
"Cloning vector pUC18T-mini-Tn7T-Gm-Pc-mCerulean, complete sequence",Cloning vector pUC18T-mini-Tn7T-Gm-Pc-mCerulean,196,196,9%,6e-45,98.23,5497,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ253289.1?report=genbank&log$=nucltop&blast_rank=75&RID=0G4K545F013"",""OQ253289.1"")"
"Vector pUC18T-mini-Tn7T-Gm-Pc-sfGFP, complete sequence",Vector pUC18T-mini-Tn7T-Gm-Pc-sfGFP,196,196,9%,6e-45,98.23,5498,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OP566393.1?report=genbank&log$=nucltop&blast_rank=76&RID=0G4K545F013"",""OP566393.1"")"
"Cloning vector pXY4, complete sequence",Cloning vector pXY4,196,196,9%,6e-45,98.23,7876,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM201425.1?report=genbank&log$=nucltop&blast_rank=77&RID=0G4K545F013"",""KM201425.1"")"
"Acinetobacter baumannii strain ATCC17978 TnAraC-H0N27_12600 chromosome, complete genome",Acinetobacter baumannii,196,393,9%,6e-45,96.64,4017814,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP113074.1?report=genbank&log$=nucltop&blast_rank=78&RID=0G4K545F013"",""CP113074.1"")"
"Mini-Tn7 delivery vector pGP-Tn7-Gm, complete sequence",Mini-Tn7 delivery vector pGP-Tn7-Gm,196,196,9%,6e-45,98.23,6057,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JQ429758.1?report=genbank&log$=nucltop&blast_rank=79&RID=0G4K545F013"",""JQ429758.1"")"
"Cloning vector pXY1, complete sequence",Cloning vector pXY1,196,196,9%,6e-45,98.23,7391,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM201422.1?report=genbank&log$=nucltop&blast_rank=80&RID=0G4K545F013"",""KM201422.1"")"
"Cloning vector pUC18T-mini-Tn7T-Gm-Pc-mOrange, complete sequence",Cloning vector pUC18T-mini-Tn7T-Gm-Pc-mOrange,196,196,9%,6e-45,98.23,5489,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ253286.1?report=genbank&log$=nucltop&blast_rank=81&RID=0G4K545F013"",""OQ253286.1"")"
"Cloning vector pUC18T-miniTn7T-LAC-Zeo, complete sequence",Cloning vector pUC18T-miniTn7T-LAC-Zeo,196,196,9%,6e-45,98.23,5973,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH290813.1?report=genbank&log$=nucltop&blast_rank=82&RID=0G4K545F013"",""MH290813.1"")"
"Cloning vector pTn5/7luxG4, complete sequence",Cloning vector pTn5/7luxG4,196,196,9%,6e-45,98.23,10966,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KF813061.1?report=genbank&log$=nucltop&blast_rank=83&RID=0G4K545F013"",""KF813061.1"")"
"Vector pUC18T-mini-Tn7T-Gm-Pc-mCherry, complete sequence",Vector pUC18T-mini-Tn7T-Gm-Pc-mCherry,196,196,9%,6e-45,98.23,5489,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OP566392.1?report=genbank&log$=nucltop&blast_rank=84&RID=0G4K545F013"",""OP566392.1"")"
"Cloning vector pR6KT2, complete sequence",Cloning vector pR6KT2,196,384,9%,6e-45,98.23,5953,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JX239259.1?report=genbank&log$=nucltop&blast_rank=85&RID=0G4K545F013"",""JX239259.1"")"
"Vector pUC18T-mini-Tn7T-Gm-Pc-mKate2, complete sequence",Vector pUC18T-mini-Tn7T-Gm-Pc-mKate2,196,196,9%,6e-45,98.23,5477,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OP566394.1?report=genbank&log$=nucltop&blast_rank=86&RID=0G4K545F013"",""OP566394.1"")"
"Cloning vector pUC18T-mini-Tn7T-Apr-sfGFP, complete sequence",Cloning vector pUC18T-mini-Tn7T-Apr-sfGFP,196,196,9%,6e-45,98.23,5670,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH976505.1?report=genbank&log$=nucltop&blast_rank=87&RID=0G4K545F013"",""MH976505.1"")"
"Cloning vector pUC18T-miniTn7T-LAC-Apr, complete sequence",Cloning vector pUC18T-miniTn7T-LAC-Apr,196,196,9%,6e-45,98.23,6403,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH290812.1?report=genbank&log$=nucltop&blast_rank=88&RID=0G4K545F013"",""MH290812.1"")"
"Synthetic construct clone iJM_CO_005 gentamicin resistance protein gene, complete cds",synthetic construct,196,196,9%,6e-45,98.23,911,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ603081.1?report=genbank&log$=nucltop&blast_rank=89&RID=0G4K545F013"",""OQ603081.1"")"
"Gentamycin resistance FRT vector pFGM1, complete sequence",Gentamycin resistance FRT vector pFGM1,196,196,9%,6e-45,98.23,3789,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AY597270.1?report=genbank&log$=nucltop&blast_rank=90&RID=0G4K545F013"",""AY597270.1"")"
