Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Cloning vector prMLVB4/5/6 Mecto, complete sequence",Cloning vector prMLVB4/5/6 Mecto,383,383,33%,4e-101,82.58,14607,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JQ844157.1?report=genbank&log$=nucltop&blast_rank=16&RID=0G3VAJYB016"",""JQ844157.1"")"
"Cloning vector pEAVrMLVB4/5, complete sequence",Cloning vector pEAVrMLVB4/5,383,383,33%,4e-101,82.58,14577,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JQ844153.1?report=genbank&log$=nucltop&blast_rank=17&RID=0G3VAJYB016"",""JQ844153.1"")"
"Cloning vector pEAVrVBS, complete sequence",Cloning vector pEAVrVBS,383,383,33%,4e-101,82.58,14553,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/DQ846751.1?report=genbank&log$=nucltop&blast_rank=18&RID=0G3VAJYB016"",""DQ846751.1"")"
"Cloning vector pEAVrMLVB4/5/6, complete sequence",Cloning vector pEAVrMLVB4/5/6,383,383,33%,4e-101,82.58,14601,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JQ844155.1?report=genbank&log$=nucltop&blast_rank=19&RID=0G3VAJYB016"",""JQ844155.1"")"
"Cloning vector pEAVrMLV/VBS S, complete sequence",Cloning vector pEAVrMLV/VBS S,383,383,33%,4e-101,82.58,14553,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU732200.1?report=genbank&log$=nucltop&blast_rank=20&RID=0G3VAJYB016"",""GU732200.1"")"
"Synthetic construct IDRI plasmid clone 430, complete sequence",synthetic construct,383,383,33%,4e-101,82.58,13755,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ671998.1?report=genbank&log$=nucltop&blast_rank=21&RID=0G3VAJYB016"",""MZ671998.1"")"
"Cloning vector pEAVrMLVB-1b2a-MCS, complete sequence",Cloning vector pEAVrMLVB-1b2a-MCS,383,383,33%,4e-101,82.58,14622,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM446468.1?report=genbank&log$=nucltop&blast_rank=22&RID=0G3VAJYB016"",""HM446468.1"")"
"Synthetic construct IDRI plasmid 431, complete sequence",synthetic construct,383,383,33%,4e-101,82.58,13737,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ671999.1?report=genbank&log$=nucltop&blast_rank=23&RID=0G3VAJYB016"",""MZ671999.1"")"
"Cloning vector pEAVrMLVB/rVBS56, complete sequence",Cloning vector pEAVrMLVB/rVBS56,383,383,33%,4e-101,82.58,14577,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU732199.1?report=genbank&log$=nucltop&blast_rank=24&RID=0G3VAJYB016"",""GU732199.1"")"
"Cloning vector pEAVrVBS/MLV S, complete sequence",Cloning vector pEAVrVBS/MLV S,383,383,33%,4e-101,82.58,14553,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU732201.1?report=genbank&log$=nucltop&blast_rank=25&RID=0G3VAJYB016"",""GU732201.1"")"
"Cloning vector pEAVrMLVB-1b2a-GFP, complete sequence",Cloning vector pEAVrMLVB-1b2a-GFP,383,383,33%,4e-101,82.58,15342,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM446469.1?report=genbank&log$=nucltop&blast_rank=26&RID=0G3VAJYB016"",""HM446469.1"")"
"MoClo level 2 destination vector pL2-1, complete sequence",MoClo level 2 destination vector pL2-1,383,383,35%,4e-101,81.76,10475,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ728317.1?report=genbank&log$=nucltop&blast_rank=27&RID=0G3VAJYB016"",""HQ728317.1"")"
"Cloning vector pEAVrMLVB4/5/6 GP5&Mecto, complete sequence",Cloning vector pEAVrMLVB4/5/6 GP5&Mecto,383,383,33%,4e-101,82.58,14457,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JQ844158.1?report=genbank&log$=nucltop&blast_rank=28&RID=0G3VAJYB016"",""JQ844158.1"")"
"Cloning vector pEAVsVBSmCherry, complete sequence",Cloning vector pEAVsVBSmCherry,383,383,33%,4e-101,82.58,15345,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT175701.1?report=genbank&log$=nucltop&blast_rank=29&RID=0G3VAJYB016"",""KT175701.1"")"
"Cloning vector pEAVrMLVB/rVBS234, complete sequence",Cloning vector pEAVrMLVB/rVBS234,383,383,33%,4e-101,82.58,14577,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU732198.1?report=genbank&log$=nucltop&blast_rank=30&RID=0G3VAJYB016"",""GU732198.1"")"
"Transformation vector pJF1005, complete sequence",Transformation vector pJF1005,383,383,35%,4e-101,81.76,15585,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ417371.1?report=genbank&log$=nucltop&blast_rank=31&RID=0G3VAJYB016"",""MZ417371.1"")"
"Boechera divaricarpa GSS, clone B53-01-F_N18",Boechera divaricarpa,383,383,33%,4e-101,82.51,1206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HF950705.1?report=genbank&log$=nucltop&blast_rank=32&RID=0G3VAJYB016"",""HF950705.1"")"
"Transformation vector pJF1004, complete sequence",Transformation vector pJF1004,383,383,35%,4e-101,81.76,15585,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ417370.1?report=genbank&log$=nucltop&blast_rank=33&RID=0G3VAJYB016"",""MZ417370.1"")"
"Cloning vector VEE(L.Cm).mCardinal, complete sequence",Cloning vector VEE(L.Cm).mCardinal,383,383,33%,4e-101,82.58,14173,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF136450.1?report=genbank&log$=nucltop&blast_rank=34&RID=0G3VAJYB016"",""MF136450.1"")"
"Cloning vector pNT562 DNA, complete sequence",Cloning vector pNT562,381,381,33%,2e-100,82.54,5058,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LC215276.1?report=genbank&log$=nucltop&blast_rank=35&RID=0G3VAJYB016"",""LC215276.1"")"
"Gateway entry vector pENTR207-CATMA3a24230, complete sequence",Gateway entry vector pENTR207-CATMA3a24230,381,572,42%,2e-100,82.54,3607,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT726420.1?report=genbank&log$=nucltop&blast_rank=36&RID=0G3VAJYB016"",""LT726420.1"")"
"Cloning vector pCA-DEST1100, complete sequence",Cloning vector pCA-DEST1100,381,381,33%,2e-100,82.54,8169,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG188268.1?report=genbank&log$=nucltop&blast_rank=37&RID=0G3VAJYB016"",""MG188268.1"")"
"Gateway expression vector pAGRIKOLA-CATMA5a42700, complete sequence",Gateway expression vector pAGRIKOLA-CATMA5a42700,381,381,33%,2e-100,82.43,9475,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT725586.1?report=genbank&log$=nucltop&blast_rank=38&RID=0G3VAJYB016"",""LT725586.1"")"
"Cloning vector pBM025, complete sequence",Cloning vector pBM025,381,381,33%,2e-100,82.43,11740,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN019120.1?report=genbank&log$=nucltop&blast_rank=39&RID=0G3VAJYB016"",""MN019120.1"")"
"Cloning vector pCDH-EF1a-mIgkSP-MCS-IRES-copGFP, complete sequence",Cloning vector pCDH-EF1a-mIgkSP-MCS-IRES-copGFP,381,381,33%,2e-100,82.43,7894,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX757241.1?report=genbank&log$=nucltop&blast_rank=40&RID=0G3VAJYB016"",""KX757241.1"")"
"Escherichia coli plasmid pAm05WL6211, complete sequence",Escherichia coli,381,381,33%,2e-100,82.54,6211,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GQ149343.1?report=genbank&log$=nucltop&blast_rank=41&RID=0G3VAJYB016"",""GQ149343.1"")"
"Cloning vector pTrichoGate-20, complete sequence",Cloning vector pTrichoGate-20,381,381,33%,2e-100,82.43,4534,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN007124.1?report=genbank&log$=nucltop&blast_rank=42&RID=0G3VAJYB016"",""MN007124.1"")"
"Homologous recombination vector p2Bait DNA, complete sequence",Homologous recombination vector p2Bait,381,381,33%,2e-100,82.43,2568,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LC800709.1?report=genbank&log$=nucltop&blast_rank=43&RID=0G3VAJYB016"",""LC800709.1"")"
"Vector pYTSK58K_6G7, complete sequence",Vector pYTSK58K_6G7,381,574,42%,2e-100,82.43,16372,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/ON366542.1?report=genbank&log$=nucltop&blast_rank=44&RID=0G3VAJYB016"",""ON366542.1"")"
"Cloning vector pBGEN02-hpt, complete sequence",Cloning vector pBGEN02-hpt,381,381,33%,2e-100,82.43,9621,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JQ280535.1?report=genbank&log$=nucltop&blast_rank=45&RID=0G3VAJYB016"",""JQ280535.1"")"
"Gateway binary vector R4L1pGWB443 DNA, complete sequence",Gateway binary vector R4L1pGWB443,381,563,41%,2e-100,82.54,11550,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AB524010.1?report=genbank&log$=nucltop&blast_rank=46&RID=0G3VAJYB016"",""AB524010.1"")"
"Cloning vector pLR5-Ppy-luc2, complete sequence",Cloning vector pLR5-Ppy-luc2,381,381,33%,2e-100,82.54,6745,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KU744692.1?report=genbank&log$=nucltop&blast_rank=47&RID=0G3VAJYB016"",""KU744692.1"")"
"Cloning vector pKW3_MB1Amp_TracrK_Spacer, complete sequence",Cloning vector pKW3_MB1Amp_TracrK_Spacer,381,381,33%,2e-100,82.54,3246,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN226641.1?report=genbank&log$=nucltop&blast_rank=48&RID=0G3VAJYB016"",""MN226641.1"")"
"Gateway entry vector pENTR207-CATMA1a66315, complete sequence",Gateway entry vector pENTR207-CATMA1a66315,381,572,42%,2e-100,82.54,3667,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT726078.1?report=genbank&log$=nucltop&blast_rank=49&RID=0G3VAJYB016"",""LT726078.1"")"
"Cloning vector pT3TS-Tol2, complete sequence",Cloning vector pT3TS-Tol2,381,381,33%,2e-100,82.54,5163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ335172.1?report=genbank&log$=nucltop&blast_rank=50&RID=0G3VAJYB016"",""HQ335172.1"")"
"Cloning vector pET28-B18R(HisTag), complete sequence",Cloning vector pET28-B18R(HisTag),381,381,33%,2e-100,82.54,6387,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG356786.1?report=genbank&log$=nucltop&blast_rank=51&RID=0G3VAJYB016"",""MG356786.1"")"
"Dual site Gateway binary vector pGWB6615-MD8-Pnos DNA, complete sequence",Dual site Gateway binary vector pGWB6615-MD8-Pnos,381,563,41%,2e-100,82.54,12652,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LC221361.1?report=genbank&log$=nucltop&blast_rank=52&RID=0G3VAJYB016"",""LC221361.1"")"
"Mammalian expression vector pSV529HIFNG3, complete sequence",Mammalian expression vector pSV529HIFNG3,381,381,33%,2e-100,82.43,9459,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT727498.1?report=genbank&log$=nucltop&blast_rank=53&RID=0G3VAJYB016"",""LT727498.1"")"
"Cloning vector pTrc-At4CL1m-AtCHI-PhCHS, complete sequence",Cloning vector pTrc-At4CL1m-AtCHI-PhCHS,381,381,33%,2e-100,82.54,7827,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH488946.1?report=genbank&log$=nucltop&blast_rank=54&RID=0G3VAJYB016"",""MH488946.1"")"
"Gateway expression vector pAGRIKOLA-CATMA3a12660, complete sequence",Gateway expression vector pAGRIKOLA-CATMA3a12660,381,381,33%,2e-100,82.43,9533,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT725228.1?report=genbank&log$=nucltop&blast_rank=55&RID=0G3VAJYB016"",""LT725228.1"")"
"Gateway vector pUGW42 DNA, complete sequence",Gateway vector pUGW42,381,381,33%,2e-100,82.54,6711,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AB626684.1?report=genbank&log$=nucltop&blast_rank=56&RID=0G3VAJYB016"",""AB626684.1"")"
"Vector pVMG0315 attb b-tubulin-x4, complete sequence",Unknown,381,381,33%,2e-100,82.54,9384,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PV246635.1?report=genbank&log$=nucltop&blast_rank=57&RID=0G3VAJYB016"",""PV246635.1"")"
"Gateway expression vector pAGRIKOLA-CATMA1a57490, complete sequence",Gateway expression vector pAGRIKOLA-CATMA1a57490,381,381,33%,2e-100,82.43,9551,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT724846.1?report=genbank&log$=nucltop&blast_rank=58&RID=0G3VAJYB016"",""LT724846.1"")"
"Synthetic construct Syb::GFPn146i::TEV gene, complete cds",synthetic construct,381,381,33%,2e-100,82.54,10789,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN658791.1?report=genbank&log$=nucltop&blast_rank=59&RID=0G3VAJYB016"",""MN658791.1"")"
"Plant expression vector pZG165, complete sequence",Plant expression vector pZG165,381,381,33%,2e-100,82.43,12906,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW026680.1?report=genbank&log$=nucltop&blast_rank=60&RID=0G3VAJYB016"",""MW026680.1"")"
"Synthetic construct clone AVKr4-2-x, complete sequence",synthetic construct,381,381,33%,2e-100,82.54,6302,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ738940.1?report=genbank&log$=nucltop&blast_rank=61&RID=0G3VAJYB016"",""OQ738940.1"")"
"Cloning vector pG20_LUC2_Blp, complete sequence",Cloning vector pG20_LUC2_Blp,381,381,33%,2e-100,82.43,6697,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT896409.1?report=genbank&log$=nucltop&blast_rank=62&RID=0G3VAJYB016"",""MT896409.1"")"
"Vector pBJC7, complete sequence",Vector pBJC7,381,381,33%,2e-100,82.43,8200,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PQ589841.1?report=genbank&log$=nucltop&blast_rank=63&RID=0G3VAJYB016"",""PQ589841.1"")"
"Gateway expression vector pAGRIKOLA-CATMA1a11610, complete sequence",Gateway expression vector pAGRIKOLA-CATMA1a11610,381,381,33%,2e-100,82.43,9441,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT724735.1?report=genbank&log$=nucltop&blast_rank=64&RID=0G3VAJYB016"",""LT724735.1"")"
"Cloning vector pCMV-TALER2, complete sequence",Cloning vector pCMV-TALER2,381,381,33%,2e-100,82.54,7657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM486819.1?report=genbank&log$=nucltop&blast_rank=65&RID=0G3VAJYB016"",""KM486819.1"")"
"Gateway entry vector pENTR207-CATMA1a07815, complete sequence",Gateway entry vector pENTR207-CATMA1a07815,381,572,42%,2e-100,82.54,3573,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT725727.1?report=genbank&log$=nucltop&blast_rank=66&RID=0G3VAJYB016"",""LT725727.1"")"
"Gateway entry vector pENTR207-CATMA2a19900, complete sequence",Gateway entry vector pENTR207-CATMA2a19900,381,572,42%,2e-100,82.54,3761,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT726202.1?report=genbank&log$=nucltop&blast_rank=67&RID=0G3VAJYB016"",""LT726202.1"")"
"Binary vector pMpGWB308 DNA, complete sequence",Binary vector pMpGWB308,381,563,41%,2e-100,82.54,14677,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LC057524.1?report=genbank&log$=nucltop&blast_rank=68&RID=0G3VAJYB016"",""LC057524.1"")"
"Binary vector pDOE-10, complete sequence",Binary vector pDOE-10,381,381,33%,2e-100,82.43,11592,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM507051.1?report=genbank&log$=nucltop&blast_rank=69&RID=0G3VAJYB016"",""KM507051.1"")"
"Shuttle expression vector pBlu10-Htk, complete sequence",Shuttle expression vector pBlu10-Htk,381,381,33%,2e-100,82.43,5756,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN843970.1?report=genbank&log$=nucltop&blast_rank=70&RID=0G3VAJYB016"",""MN843970.1"")"
"Gateway entry vector pENTR207-CATMA2c47804, complete sequence",Gateway entry vector pENTR207-CATMA2c47804,381,572,42%,2e-100,82.54,3557,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT726347.1?report=genbank&log$=nucltop&blast_rank=71&RID=0G3VAJYB016"",""LT726347.1"")"
"Mammalian expression vector pSA89, complete sequence",Mammalian expression vector pSA89,381,381,33%,2e-100,82.43,5594,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JQ624674.1?report=genbank&log$=nucltop&blast_rank=72&RID=0G3VAJYB016"",""JQ624674.1"")"
"Vector DP.M6374A, complete sequence",Vector DP.M6374A,381,381,33%,2e-100,82.54,7381,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PP719194.1?report=genbank&log$=nucltop&blast_rank=73&RID=0G3VAJYB016"",""PP719194.1"")"
"Gateway entry vector pENTR207-CATMA1a15076, complete sequence",Gateway entry vector pENTR207-CATMA1a15076,381,572,42%,2e-100,82.54,3607,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT725768.1?report=genbank&log$=nucltop&blast_rank=74&RID=0G3VAJYB016"",""LT725768.1"")"
"Expression vector CMVmKIF17S1029AmCherry, complete sequence",Expression vector CMVmKIF17S1029AmCherry,381,381,33%,2e-100,82.43,8933,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK046076.1?report=genbank&log$=nucltop&blast_rank=75&RID=0G3VAJYB016"",""MK046076.1"")"
"Shuttle vector pGrna2, complete sequence",Shuttle vector pGrna2,381,381,33%,2e-100,82.43,7434,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT445781.1?report=genbank&log$=nucltop&blast_rank=76&RID=0G3VAJYB016"",""MT445781.1"")"
"Expression vector pL549g1428300 luciferase enzyme gene, complete cds",Expression vector pL549g1428300,381,381,33%,2e-100,82.54,4805,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK048745.1?report=genbank&log$=nucltop&blast_rank=77&RID=0G3VAJYB016"",""OK048745.1"")"
"Gateway entry vector pENTR207-CATMA1a60760, complete sequence",Gateway entry vector pENTR207-CATMA1a60760,381,572,42%,2e-100,82.54,3579,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT726026.1?report=genbank&log$=nucltop&blast_rank=78&RID=0G3VAJYB016"",""LT726026.1"")"
"Gateway expression vector pAGRIKOLA-CATMA2a21260, complete sequence",Gateway expression vector pAGRIKOLA-CATMA2a21260,381,381,33%,2e-100,82.43,9455,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT725097.1?report=genbank&log$=nucltop&blast_rank=79&RID=0G3VAJYB016"",""LT725097.1"")"
"Gateway entry vector pENTR207-CATMA5a39470, complete sequence",Gateway entry vector pENTR207-CATMA5a39470,381,572,42%,2e-100,82.54,3598,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT726639.1?report=genbank&log$=nucltop&blast_rank=80&RID=0G3VAJYB016"",""LT726639.1"")"
"Vector pVMG0288_LbCpf1_D156R, complete sequence",Vector pVMG0288_LbCpf1_D156R,381,381,33%,2e-100,82.54,13958,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR262463.1?report=genbank&log$=nucltop&blast_rank=81&RID=0G3VAJYB016"",""OR262463.1"")"
"Expression vector pETHISmdh, complete sequence",Expression vector pETHISmdh,381,381,33%,2e-100,82.54,6400,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH173314.1?report=genbank&log$=nucltop&blast_rank=82&RID=0G3VAJYB016"",""MH173314.1"")"
"Expression vector pHP83623, complete sequence",Expression vector pHP83623,381,563,42%,2e-100,82.43,20170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN380779.1?report=genbank&log$=nucltop&blast_rank=83&RID=0G3VAJYB016"",""MN380779.1"")"
"Cloning vector pGluc2-Nter-ERI1-deltaSAP, complete sequence",Cloning vector pGluc2-Nter-ERI1-deltaSAP,381,381,33%,2e-100,82.54,6756,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT966991.1?report=genbank&log$=nucltop&blast_rank=84&RID=0G3VAJYB016"",""MT966991.1"")"
"Lentivirus vector pHIV-iRFP720-E2A-Luc, complete sequence",Lentiviral vector pHIV-iRFP720-E2A-Luc,381,381,33%,2e-100,82.43,9053,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF693179.1?report=genbank&log$=nucltop&blast_rank=85&RID=0G3VAJYB016"",""MF693179.1"")"
"Gateway expression vector pAGRIKOLA-CATMA1a24290, complete sequence",Gateway expression vector pAGRIKOLA-CATMA1a24290,381,381,33%,2e-100,82.43,9673,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT724780.1?report=genbank&log$=nucltop&blast_rank=86&RID=0G3VAJYB016"",""LT724780.1"")"
"Mammalian expression vector LNXCO4, complete sequence",Mammalian expression vector LNXCO4,381,381,33%,2e-100,82.43,7493,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT727331.1?report=genbank&log$=nucltop&blast_rank=87&RID=0G3VAJYB016"",""LT727331.1"")"
"Gateway entry vector pENTR207-CATMA3a26780, complete sequence",Gateway entry vector pENTR207-CATMA3a26780,381,572,42%,2e-100,82.54,3712,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT726429.1?report=genbank&log$=nucltop&blast_rank=88&RID=0G3VAJYB016"",""LT726429.1"")"
"Cloning vector pRP-M-GFP-N, complete sequence",Cloning vector pRP-M-GFP-N,381,381,33%,2e-100,82.43,8437,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KU315441.1?report=genbank&log$=nucltop&blast_rank=89&RID=0G3VAJYB016"",""KU315441.1"")"
"Mammalian expression vector pSV23SMTNFm2t, complete sequence",Mammalian expression vector pSV23SMTNFm2t,381,381,33%,2e-100,82.43,5193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT727533.1?report=genbank&log$=nucltop&blast_rank=90&RID=0G3VAJYB016"",""LT727533.1"")"
