Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Pseudomonas sp. B21-041 chromosome, complete genome",Pseudomonas sp. B21-041,344,344,19%,2e-89,91.87,6414521,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP087175.1?report=genbank&log$=nucltop&blast_rank=15&RID=0G4A0USC013"",""CP087175.1"")"
"Pseudomonas germanica strain FIT28 chromosome, complete genome",Pseudomonas germanica,344,344,19%,2e-89,91.87,6713530,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP071586.1?report=genbank&log$=nucltop&blast_rank=16&RID=0G4A0USC013"",""CP071586.1"")"
"Pseudomonas zeae strain BIM B-582 chromosome, complete genome",Pseudomonas zeae,344,344,19%,2e-89,91.87,6470456,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP102358.1?report=genbank&log$=nucltop&blast_rank=17&RID=0G4A0USC013"",""CP102358.1"")"
"Pseudomonas germanica strain P9_87 chromosome, complete genome",Pseudomonas germanica,344,344,19%,2e-89,91.87,6530867,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP125372.1?report=genbank&log$=nucltop&blast_rank=18&RID=0G4A0USC013"",""CP125372.1"")"
"Pseudomonas zeae strain OE 48.2 chromosome, complete genome",Pseudomonas zeae,339,339,19%,9e-88,91.46,6630739,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP077090.1?report=genbank&log$=nucltop&blast_rank=19&RID=0G4A0USC013"",""CP077090.1"")"
"Pseudomonas sp. 43A chromosome, complete genome",Pseudomonas sp. 43A,337,337,19%,3e-87,91.43,6791021,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP054880.1?report=genbank&log$=nucltop&blast_rank=20&RID=0G4A0USC013"",""CP054880.1"")"
"Pseudomonas sp. Stari2 chromosome, complete genome",Pseudomonas sp. Stari2,337,337,20%,3e-87,90.87,6310573,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP099760.1?report=genbank&log$=nucltop&blast_rank=21&RID=0G4A0USC013"",""CP099760.1"")"
"Pseudomonas sp. 29A chromosome, complete genome",Pseudomonas sp. 29A,337,337,18%,3e-87,93.39,6775260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP059738.1?report=genbank&log$=nucltop&blast_rank=22&RID=0G4A0USC013"",""CP059738.1"")"
"Pseudomonas sp. S150 chromosome, complete genome",Pseudomonas sp. S150,327,327,19%,2e-84,90.65,6304843,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP038207.1?report=genbank&log$=nucltop&blast_rank=23&RID=0G4A0USC013"",""CP038207.1"")"
Pseudomonas putida strain PgBE89 chromosome,Pseudomonas putida,327,327,19%,2e-84,90.65,6299263,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP083988.1?report=genbank&log$=nucltop&blast_rank=24&RID=0G4A0USC013"",""CP083988.1"")"
"Pseudomonas koreensis strain FP1691 chromosome, complete genome",Pseudomonas koreensis,327,327,19%,2e-84,90.65,6304592,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP111114.1?report=genbank&log$=nucltop&blast_rank=25&RID=0G4A0USC013"",""CP111114.1"")"
"Pseudomonas fluorescens isolate PfAR1 genome assembly, chromosome: 1",Pseudomonas fluorescens,326,326,18%,7e-84,92.51,6251798,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LR782234.1?report=genbank&log$=nucltop&blast_rank=26&RID=0G4A0USC013"",""LR782234.1"")"
"Pseudomonas sp. HS6 chromosome, complete genome",Pseudomonas sp. HS6,324,324,20%,3e-83,89.76,6547752,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP067412.1?report=genbank&log$=nucltop&blast_rank=27&RID=0G4A0USC013"",""CP067412.1"")"
"Pseudomonas allokribbensis strain IzPS23 chromosome, complete genome",Pseudomonas allokribbensis,324,324,20%,3e-83,89.49,6565027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP062252.1?report=genbank&log$=nucltop&blast_rank=28&RID=0G4A0USC013"",""CP062252.1"")"
"Pseudomonas koreensis strain P19E3 chromosome, complete genome",Pseudomonas koreensis,322,322,19%,9e-83,90.24,6444290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP027477.1?report=genbank&log$=nucltop&blast_rank=29&RID=0G4A0USC013"",""CP027477.1"")"
"Pseudomonas fluorescens strain LBUM677 chromosome, complete genome",Pseudomonas fluorescens,322,322,19%,9e-83,90.24,6140320,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP038438.1?report=genbank&log$=nucltop&blast_rank=30&RID=0G4A0USC013"",""CP038438.1"")"
Pseudomonas sp. Y5-11 chromosome,Pseudomonas sp. Y5-11,322,322,19%,9e-83,90.24,6518749,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP058974.1?report=genbank&log$=nucltop&blast_rank=31&RID=0G4A0USC013"",""CP058974.1"")"
"Pseudomonas sp. AN-B15 chromosome, complete genome",Pseudomonas sp. AN-B15,322,322,19%,9e-83,90.24,6301094,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP049737.1?report=genbank&log$=nucltop&blast_rank=32&RID=0G4A0USC013"",""CP049737.1"")"
"Pseudomonas koreensis strain BM06 chromosome, complete genome",Pseudomonas koreensis,322,322,19%,9e-83,90.24,6093942,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP155621.1?report=genbank&log$=nucltop&blast_rank=33&RID=0G4A0USC013"",""CP155621.1"")"
"Pseudomonas lurida strain MYb11 chromosome, complete genome",Pseudomonas lurida,320,320,18%,3e-82,92.07,6100532,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP023272.1?report=genbank&log$=nucltop&blast_rank=34&RID=0G4A0USC013"",""CP023272.1"")"
"Pseudomonas lurida strain FP2043 chromosome, complete genome",Pseudomonas lurida,320,320,18%,3e-82,92.07,6559627,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP117450.1?report=genbank&log$=nucltop&blast_rank=35&RID=0G4A0USC013"",""CP117450.1"")"
Pseudomonas lurida strain MYb11 chromosome,Pseudomonas lurida,320,320,18%,3e-82,92.07,6100632,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP142425.1?report=genbank&log$=nucltop&blast_rank=36&RID=0G4A0USC013"",""CP142425.1"")"
"Pseudomonas sp. DTU12.3 chromosome, complete genome",Pseudomonas sp. DTU12.3,320,320,18%,3e-82,92.07,6268469,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP027218.1?report=genbank&log$=nucltop&blast_rank=37&RID=0G4A0USC013"",""CP027218.1"")"
Pseudomonas lurida strain CFBP13722 chromosome,Pseudomonas lurida,320,320,18%,3e-82,92.07,6143170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP110885.1?report=genbank&log$=nucltop&blast_rank=38&RID=0G4A0USC013"",""CP110885.1"")"
"Pseudomonas lurida strain BF8PS1 chromosome, complete genome",Pseudomonas lurida,320,320,18%,3e-82,92.07,6039873,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP162518.1?report=genbank&log$=nucltop&blast_rank=39&RID=0G4A0USC013"",""CP162518.1"")"
"Pseudomonas sp. IzPS59 chromosome, complete genome",Pseudomonas sp. IzPS59,320,320,20%,3e-82,89.68,6381635,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP062251.1?report=genbank&log$=nucltop&blast_rank=40&RID=0G4A0USC013"",""CP062251.1"")"
"Pseudomonas kribbensis strain XP1-6 chromosome, complete genome",Pseudomonas kribbensis,320,320,20%,3e-82,89.68,6400911,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116235.1?report=genbank&log$=nucltop&blast_rank=41&RID=0G4A0USC013"",""CP116235.1"")"
"Pseudomonas fluorescens strain YK-310 chromosome, complete genome",Pseudomonas fluorescens,318,318,19%,1e-81,90.46,6498941,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP071797.1?report=genbank&log$=nucltop&blast_rank=42&RID=0G4A0USC013"",""CP071797.1"")"
Pseudomonas serboccidentalis strain IT-P374 chromosome,Pseudomonas serboccidentalis,316,316,19%,4e-81,89.84,5997322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP101655.1?report=genbank&log$=nucltop&blast_rank=43&RID=0G4A0USC013"",""CP101655.1"")"
"Pseudomonas sp. Seg1 DNA, complete genome",Pseudomonas sp. Seg1,316,316,19%,4e-81,89.84,6625535,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP021903.1?report=genbank&log$=nucltop&blast_rank=44&RID=0G4A0USC013"",""AP021903.1"")"
"Pseudomonas parakoreensis strain 2180 chromosome, complete genome",Pseudomonas parakoreensis,316,504,27%,4e-81,90.12,6485964,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP145317.1?report=genbank&log$=nucltop&blast_rank=45&RID=0G4A0USC013"",""CP145317.1"")"
"Pseudomonas kribbensis strain 46-2 chromosome, complete genome",Pseudomonas kribbensis,315,315,20%,2e-80,89.29,6324282,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP029608.1?report=genbank&log$=nucltop&blast_rank=46&RID=0G4A0USC013"",""CP029608.1"")"
"Pseudomonas lini isolate Pseudomonas lini CIRM-BIA2854 genome assembly, chromosome: 1",Pseudomonas lini,315,315,18%,2e-80,91.63,6575559,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OZ061318.1?report=genbank&log$=nucltop&blast_rank=47&RID=0G4A0USC013"",""OZ061318.1"")"
Pseudomonas poae strain 5BF chromosome,Pseudomonas poae,315,315,18%,2e-80,91.63,6797414,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP110972.1?report=genbank&log$=nucltop&blast_rank=48&RID=0G4A0USC013"",""CP110972.1"")"
"Pseudomonas migulae strain HY-2 chromosome, complete genome",Pseudomonas migulae,315,315,18%,2e-80,91.63,6534348,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP171224.1?report=genbank&log$=nucltop&blast_rank=49&RID=0G4A0USC013"",""CP171224.1"")"
"Pseudomonas lurida strain L228 chromosome, complete genome",Pseudomonas lurida,315,315,18%,2e-80,91.63,6175426,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP015639.1?report=genbank&log$=nucltop&blast_rank=50&RID=0G4A0USC013"",""CP015639.1"")"
"Pseudomonas lurida strain FP1465 chromosome, complete genome",Pseudomonas lurida,315,315,18%,2e-80,91.63,6137888,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP117464.1?report=genbank&log$=nucltop&blast_rank=51&RID=0G4A0USC013"",""CP117464.1"")"
"Pseudomonas monsensis strain PGSB 8459 chromosome, complete genome",Pseudomonas monsensis,315,315,18%,2e-80,91.63,6418895,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP077087.1?report=genbank&log$=nucltop&blast_rank=52&RID=0G4A0USC013"",""CP077087.1"")"
"Pseudomonas syringae isolate inb918 chromosome, complete genome",Pseudomonas syringae,313,313,19%,5e-80,90.04,6381237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP024646.1?report=genbank&log$=nucltop&blast_rank=53&RID=0G4A0USC013"",""CP024646.1"")"
"Pseudomonas chlororaphis strain YJY915 chromosome, complete genome",Pseudomonas chlororaphis,313,313,19%,5e-80,90.04,6436664,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP113803.1?report=genbank&log$=nucltop&blast_rank=54&RID=0G4A0USC013"",""CP113803.1"")"
"Pseudomonas sp. P8_229 chromosome, complete genome",Pseudomonas sp. P8_229,311,311,19%,2e-79,89.43,6365050,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP125378.1?report=genbank&log$=nucltop&blast_rank=55&RID=0G4A0USC013"",""CP125378.1"")"
"Pseudomonas sp. AO-1 chromosome, complete genome",Pseudomonas sp. AO-1,311,311,19%,2e-79,89.71,6715607,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP079947.1?report=genbank&log$=nucltop&blast_rank=56&RID=0G4A0USC013"",""CP079947.1"")"
"Pseudomonas sp. P8_139 chromosome, complete genome",Pseudomonas sp. P8_139,311,311,19%,2e-79,89.71,6365055,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP125379.1?report=genbank&log$=nucltop&blast_rank=57&RID=0G4A0USC013"",""CP125379.1"")"
"Pseudomonas hamedanensis strain SWRI65 chromosome, complete genome",Pseudomonas hamedanensis,311,311,19%,2e-79,89.43,6045338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP077091.1?report=genbank&log$=nucltop&blast_rank=58&RID=0G4A0USC013"",""CP077091.1"")"
"Pseudomonas koreensis strain CRS05-R5 chromosome, complete genome",Pseudomonas koreensis,311,311,19%,2e-79,89.47,5991225,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP015852.1?report=genbank&log$=nucltop&blast_rank=59&RID=0G4A0USC013"",""CP015852.1"")"
"Pseudomonas koreensis strain BS3658 genome assembly, chromosome: I",Pseudomonas koreensis,311,311,19%,2e-79,89.75,6123913,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT629687.1?report=genbank&log$=nucltop&blast_rank=60&RID=0G4A0USC013"",""LT629687.1"")"
"Pseudomonas veronii 1YdBTEX2 genome assembly, chromosome: PVE_r1",Pseudomonas veronii 1YdBTEX2,309,309,18%,7e-79,91.19,6791257,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT599583.1?report=genbank&log$=nucltop&blast_rank=61&RID=0G4A0USC013"",""LT599583.1"")"
"Pseudomonas veronii strain R02, complete genome",Pseudomonas veronii,309,309,18%,7e-79,91.19,6852809,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP018420.1?report=genbank&log$=nucltop&blast_rank=62&RID=0G4A0USC013"",""CP018420.1"")"
Pseudomonas sp. Y39-6 chromosome,Pseudomonas sp. Y39-6,309,309,18%,7e-79,91.19,6947809,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP058975.1?report=genbank&log$=nucltop&blast_rank=63&RID=0G4A0USC013"",""CP058975.1"")"
"Pseudomonas sp. 7-41 chromosome, complete genome",Pseudomonas sp. 7-41,309,309,18%,7e-79,91.19,6630168,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP089551.1?report=genbank&log$=nucltop&blast_rank=64&RID=0G4A0USC013"",""CP089551.1"")"
Pseudomonas species strain PS683,Pseudomonas fluorescens,309,309,18%,7e-79,91.19,650017,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LR700639.1?report=genbank&log$=nucltop&blast_rank=65&RID=0G4A0USC013"",""LR700639.1"")"
"Pseudomonas marginalis strain PS92 chromosome, complete genome",Pseudomonas marginalis,309,309,18%,7e-79,91.19,6799674,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP125381.1?report=genbank&log$=nucltop&blast_rank=66&RID=0G4A0USC013"",""CP125381.1"")"
"Pseudomonas reinekei strain BS3776 genome assembly, chromosome: I",Pseudomonas reinekei,309,309,18%,7e-79,91.19,6312685,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT629709.1?report=genbank&log$=nucltop&blast_rank=67&RID=0G4A0USC013"",""LT629709.1"")"
"Pseudomonas veronii strain MPB10 chromosome, complete genome",Pseudomonas veronii,309,309,18%,7e-79,91.19,7085723,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177034.1?report=genbank&log$=nucltop&blast_rank=68&RID=0G4A0USC013"",""CP177034.1"")"
"Pseudomonas veronii strain T1 chromosome, complete genome",Pseudomonas veronii,309,309,18%,7e-79,91.19,7121985,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP142041.1?report=genbank&log$=nucltop&blast_rank=69&RID=0G4A0USC013"",""CP142041.1"")"
"Pseudomonas sp. LH1G9 chromosome, complete genome",Pseudomonas sp. LH1G9,309,309,18%,7e-79,91.19,6548975,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP026880.1?report=genbank&log$=nucltop&blast_rank=70&RID=0G4A0USC013"",""CP026880.1"")"
"Pseudomonas veronii strain OST1911 chromosome, complete genome",Pseudomonas veronii,309,309,18%,7e-79,91.19,6435955,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP129402.1?report=genbank&log$=nucltop&blast_rank=71&RID=0G4A0USC013"",""CP129402.1"")"
"Pseudomonas sp. SC3(2021) chromosome, complete genome",Pseudomonas sp. SC3(2021),309,309,18%,7e-79,91.19,6255857,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP082236.1?report=genbank&log$=nucltop&blast_rank=72&RID=0G4A0USC013"",""CP082236.1"")"
"Pseudomonas sp. Y39-6 chromosome, complete genome",Pseudomonas sp. Y39-6,309,309,18%,7e-79,91.19,7021566,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP069594.1?report=genbank&log$=nucltop&blast_rank=73&RID=0G4A0USC013"",""CP069594.1"")"
"Pseudomonas veronii strain G2 chromosome, complete genome",Pseudomonas veronii,309,309,18%,7e-79,91.19,6807096,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP089532.1?report=genbank&log$=nucltop&blast_rank=74&RID=0G4A0USC013"",""CP089532.1"")"
"Pseudomonas migulae strain 8R6 chromosome, complete genome",Pseudomonas migulae,307,307,20%,3e-78,88.54,6476369,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP093428.1?report=genbank&log$=nucltop&blast_rank=75&RID=0G4A0USC013"",""CP093428.1"")"
"Pseudomonas sp. MM213 chromosome, complete genome",Pseudomonas sp. MM213,307,307,20%,3e-78,88.54,6746355,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP081943.1?report=genbank&log$=nucltop&blast_rank=76&RID=0G4A0USC013"",""CP081943.1"")"
"Pseudomonas iranensis strain SWRI54 chromosome, complete genome",Pseudomonas iranensis,305,305,19%,9e-78,89.02,6073514,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP077092.1?report=genbank&log$=nucltop&blast_rank=77&RID=0G4A0USC013"",""CP077092.1"")"
"Pseudomonas atacamensis strain SM1 chromosome, complete genome",Pseudomonas atacamensis,305,305,19%,9e-78,89.30,5909586,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP070503.1?report=genbank&log$=nucltop&blast_rank=78&RID=0G4A0USC013"",""CP070503.1"")"
"Pseudomonas sp. OVF7 chromosome, complete genome",Pseudomonas sp. OVF7,305,305,19%,9e-78,89.02,7174656,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP128996.1?report=genbank&log$=nucltop&blast_rank=79&RID=0G4A0USC013"",""CP128996.1"")"
Pseudomonas atacamensis strain 200B-1 chromosome,Pseudomonas atacamensis,305,305,19%,9e-78,89.30,5993012,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP137078.1?report=genbank&log$=nucltop&blast_rank=80&RID=0G4A0USC013"",""CP137078.1"")"
"Pseudomonas sp. HOU2 chromosome, complete genome",Pseudomonas sp. HOU2,305,305,19%,9e-78,89.02,6047544,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP160398.1?report=genbank&log$=nucltop&blast_rank=81&RID=0G4A0USC013"",""CP160398.1"")"
"Pseudomonas atacamensis strain SWRI76 chromosome, complete genome",Pseudomonas atacamensis,305,305,19%,9e-78,89.02,6083791,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP077081.1?report=genbank&log$=nucltop&blast_rank=82&RID=0G4A0USC013"",""CP077081.1"")"
"Pseudomonas atacamensis strain GZ-3 chromosome, complete genome",Pseudomonas atacamensis,305,305,19%,9e-78,89.02,6067391,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP160044.1?report=genbank&log$=nucltop&blast_rank=83&RID=0G4A0USC013"",""CP160044.1"")"
"Pseudomonas atacamensis strain B21-050 chromosome, complete genome",Pseudomonas atacamensis,305,305,19%,9e-78,89.02,5940339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP087167.1?report=genbank&log$=nucltop&blast_rank=84&RID=0G4A0USC013"",""CP087167.1"")"
"Pseudomonas sp. G11 chromosome, complete genome",Pseudomonas sp. G11,305,305,19%,9e-78,89.30,7613543,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP120377.1?report=genbank&log$=nucltop&blast_rank=85&RID=0G4A0USC013"",""CP120377.1"")"
"Pseudomonas atacamensis strain MGMM4 chromosome, complete genome",Pseudomonas atacamensis,305,305,19%,9e-78,89.02,6010765,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP123909.1?report=genbank&log$=nucltop&blast_rank=86&RID=0G4A0USC013"",""CP123909.1"")"
"Pseudomonas fluorescens strain KF1 chromosome, complete genome",Pseudomonas fluorescens,305,305,19%,9e-78,89.30,6957239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP063233.1?report=genbank&log$=nucltop&blast_rank=87&RID=0G4A0USC013"",""CP063233.1"")"
"Pseudomonas atacamensis strain B21-045 chromosome, complete genome",Pseudomonas atacamensis,305,305,19%,9e-78,89.02,5992133,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP087171.1?report=genbank&log$=nucltop&blast_rank=88&RID=0G4A0USC013"",""CP087171.1"")"
"Pseudomonas atacamensis strain FP1761 chromosome, complete genome",Pseudomonas atacamensis,305,305,19%,9e-78,89.02,6147944,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP166911.1?report=genbank&log$=nucltop&blast_rank=89&RID=0G4A0USC013"",""CP166911.1"")"
"Pseudomonas siliginis strain OTU6BANIB1 chromosome, complete genome",Pseudomonas siliginis,305,305,19%,9e-78,89.02,5992118,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP099598.1?report=genbank&log$=nucltop&blast_rank=90&RID=0G4A0USC013"",""CP099598.1"")"
"Pseudomonas sp. VD9 chromosome, complete genome",Pseudomonas sp. VD9,305,305,19%,9e-78,89.02,7205777,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP169288.1?report=genbank&log$=nucltop&blast_rank=91&RID=0G4A0USC013"",""CP169288.1"")"
"Pseudomonas quebecensis isolate S1Bt7 chromosome, complete genome",Pseudomonas quebecensis,303,303,18%,3e-77,90.75,5626354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP112867.1?report=genbank&log$=nucltop&blast_rank=92&RID=0G4A0USC013"",""CP112867.1"")"
