Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Pseudomonas sp. 29A chromosome, complete genome",Pseudomonas sp. 29A,139,236,17%,1e-27,79.05,6775260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP059738.1?report=genbank&log$=nucltop&blast_rank=11&RID=0G3J27JB016"",""CP059738.1"")"
"Pseudomonas sp. HOU2 chromosome, complete genome",Pseudomonas sp. HOU2,137,339,17%,4e-27,79.79,6047544,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP160398.1?report=genbank&log$=nucltop&blast_rank=12&RID=0G3J27JB016"",""CP160398.1"")"
"Pseudomonas koreensis strain CRS05-R5 chromosome, complete genome",Pseudomonas koreensis,134,431,17%,5e-26,77.68,5991225,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP015852.1?report=genbank&log$=nucltop&blast_rank=13&RID=0G3J27JB016"",""CP015852.1"")"
"Pseudomonas koreensis strain BS3658 genome assembly, chromosome: I",Pseudomonas koreensis,134,324,17%,5e-26,77.68,6123913,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT629687.1?report=genbank&log$=nucltop&blast_rank=14&RID=0G3J27JB016"",""LT629687.1"")"
"Pseudomonas sp. B33.4 chromosome, complete genome",Pseudomonas sp. B33.4,130,258,17%,6e-25,77.43,6604192,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP140706.1?report=genbank&log$=nucltop&blast_rank=15&RID=0G3J27JB016"",""CP140706.1"")"
"Pseudomonas monsensis strain PGSB 8459 chromosome, complete genome",Pseudomonas monsensis,130,490,17%,6e-25,77.43,6418895,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP077087.1?report=genbank&log$=nucltop&blast_rank=16&RID=0G3J27JB016"",""CP077087.1"")"
"Pseudomonas fluorescens Pf0-1, complete genome",Pseudomonas fluorescens Pf0-1,128,332,17%,2e-24,78.20,6438405,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP000094.2?report=genbank&log$=nucltop&blast_rank=17&RID=0G3J27JB016"",""CP000094.2"")"
"Pseudomonas kribbensis strain 46-2 chromosome, complete genome",Pseudomonas kribbensis,124,244,17%,3e-23,76.99,6324282,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP029608.1?report=genbank&log$=nucltop&blast_rank=18&RID=0G3J27JB016"",""CP029608.1"")"
"Pseudomonas kribbensis strain XP1-6 chromosome, complete genome",Pseudomonas kribbensis,122,315,21%,1e-22,75.00,6400911,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116235.1?report=genbank&log$=nucltop&blast_rank=19&RID=0G3J27JB016"",""CP116235.1"")"
"Pseudomonas sp. IzPS59 chromosome, complete genome",Pseudomonas sp. IzPS59,121,317,16%,4e-22,81.33,6381635,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP062251.1?report=genbank&log$=nucltop&blast_rank=20&RID=0G3J27JB016"",""CP062251.1"")"
"Pseudomonas koreensis strain P19E3 chromosome, complete genome",Pseudomonas koreensis,119,119,17%,1e-21,76.44,6444290,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP027477.1?report=genbank&log$=nucltop&blast_rank=21&RID=0G3J27JB016"",""CP027477.1"")"
"Pseudomonas sp. P8_229 chromosome, complete genome",Pseudomonas sp. P8_229,111,298,17%,2e-19,76.00,6365050,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP125378.1?report=genbank&log$=nucltop&blast_rank=22&RID=0G3J27JB016"",""CP125378.1"")"
"Pseudomonas sp. AO-1 chromosome, complete genome",Pseudomonas sp. AO-1,111,111,13%,2e-19,79.39,6715607,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP079947.1?report=genbank&log$=nucltop&blast_rank=23&RID=0G3J27JB016"",""CP079947.1"")"
"Pseudomonas sp. P8_139 chromosome, complete genome",Pseudomonas sp. P8_139,111,298,17%,2e-19,76.00,6365055,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP125379.1?report=genbank&log$=nucltop&blast_rank=24&RID=0G3J27JB016"",""CP125379.1"")"
"Pseudomonas parakoreensis strain 2180 chromosome, complete genome",Pseudomonas parakoreensis,111,319,17%,2e-19,83.47,6485964,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP145317.1?report=genbank&log$=nucltop&blast_rank=25&RID=0G3J27JB016"",""CP145317.1"")"
"Pseudomonas fitomaticsae strain FIT81 chromosome, complete genome",Pseudomonas fitomaticsae,110,110,16%,8e-19,76.42,6492796,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP075567.1?report=genbank&log$=nucltop&blast_rank=26&RID=0G3J27JB016"",""CP075567.1"")"
"Pseudomonas sp. VD-NE white chromosome, complete genome",Pseudomonas sp. VD-NE white,108,212,15%,3e-18,76.88,6695895,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP134773.1?report=genbank&log$=nucltop&blast_rank=27&RID=0G3J27JB016"",""CP134773.1"")"
"Pseudomonas sp. VD-NE ins chromosome, complete genome",Pseudomonas sp. VD-NE ins,108,212,15%,3e-18,76.88,6696054,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP134772.1?report=genbank&log$=nucltop&blast_rank=28&RID=0G3J27JB016"",""CP134772.1"")"
Pseudomonas sp. Y5-11 chromosome,Pseudomonas sp. Y5-11,108,175,9%,3e-18,83.62,6518749,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP058974.1?report=genbank&log$=nucltop&blast_rank=29&RID=0G3J27JB016"",""CP058974.1"")"
"Pseudomonas sp. B21-051 chromosome, complete genome",Pseudomonas sp. B21-051,108,108,16%,3e-18,76.19,6046332,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP087166.1?report=genbank&log$=nucltop&blast_rank=30&RID=0G3J27JB016"",""CP087166.1"")"
"Pseudomonas sp. VD-NE ext chromosome, complete genome",Pseudomonas sp. VD-NE ext,108,212,15%,3e-18,76.88,6696047,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP134774.1?report=genbank&log$=nucltop&blast_rank=31&RID=0G3J27JB016"",""CP134774.1"")"
"Pseudomonas tensinigenes strain ZA 5.3 chromosome, complete genome",Pseudomonas tensinigenes,108,207,16%,3e-18,76.19,6621778,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP077089.1?report=genbank&log$=nucltop&blast_rank=32&RID=0G3J27JB016"",""CP077089.1"")"
"Pseudomonas sp. DR 5-09 chromosome, complete genome",Pseudomonas sp. DR 5-09,108,166,16%,3e-18,76.19,6427864,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP011566.1?report=genbank&log$=nucltop&blast_rank=33&RID=0G3J27JB016"",""CP011566.1"")"
Pseudomonas sp. ACM7 chromosome,Pseudomonas sp. ACM7,104,514,15%,4e-17,76.88,6602660,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP024866.1?report=genbank&log$=nucltop&blast_rank=34&RID=0G3J27JB016"",""CP024866.1"")"
"Pseudomonas sp. RU47 chromosome, complete genome",Pseudomonas sp. RU47,102,102,17%,1e-16,75.11,6663463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP022411.1?report=genbank&log$=nucltop&blast_rank=35&RID=0G3J27JB016"",""CP022411.1"")"
"Pseudomonas zeae strain OE 48.2 chromosome, complete genome",Pseudomonas zeae,99.0,99.0,8%,2e-15,84.69,6630739,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP077090.1?report=genbank&log$=nucltop&blast_rank=36&RID=0G3J27JB016"",""CP077090.1"")"
"Pseudomonas allokribbensis strain IzPS23 chromosome, complete genome",Pseudomonas allokribbensis,99.0,542,21%,2e-15,73.38,6565027,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP062252.1?report=genbank&log$=nucltop&blast_rank=37&RID=0G3J27JB016"",""CP062252.1"")"
"Pseudomonas moraviensis strain B21-039 chromosome, complete genome",Pseudomonas moraviensis,95.3,95.3,16%,2e-14,75.35,6056657,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP087177.1?report=genbank&log$=nucltop&blast_rank=38&RID=0G3J27JB016"",""CP087177.1"")"
"Pseudomonas chlororaphis subsp. aurantiaca strain YS05 chromosome, complete genome",Pseudomonas chlororaphis subsp. aurantiaca,95.3,95.3,9%,2e-14,81.58,6953033,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP059162.1?report=genbank&log$=nucltop&blast_rank=39&RID=0G3J27JB016"",""CP059162.1"")"
"Pseudomonas chlororaphis strain NCIMB_15121 chromosome, complete genome",Pseudomonas chlororaphis,93.5,327,9%,8e-14,82.69,6675668,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP152341.1?report=genbank&log$=nucltop&blast_rank=40&RID=0G3J27JB016"",""CP152341.1"")"
"Pseudomonas sp. B21-053 chromosome, complete genome",Pseudomonas sp. B21-053,93.5,93.5,8%,8e-14,82.69,7123501,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP087205.1?report=genbank&log$=nucltop&blast_rank=41&RID=0G3J27JB016"",""CP087205.1"")"
"Pseudomonas fluorescens strain LBUM677 chromosome, complete genome",Pseudomonas fluorescens,91.6,91.6,16%,3e-13,75.12,6140320,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP038438.1?report=genbank&log$=nucltop&blast_rank=42&RID=0G3J27JB016"",""CP038438.1"")"
"Pseudomonas sp. AN-B15 chromosome, complete genome",Pseudomonas sp. AN-B15,91.6,91.6,12%,3e-13,77.48,6301094,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP049737.1?report=genbank&log$=nucltop&blast_rank=43&RID=0G3J27JB016"",""CP049737.1"")"
"Pseudomonas sp. S1Bt23 chromosome, complete genome",Pseudomonas sp. S1Bt23,89.8,89.8,9%,1e-12,80.70,6755322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP139026.1?report=genbank&log$=nucltop&blast_rank=44&RID=0G3J27JB016"",""CP139026.1"")"
"Pseudomonas chlororaphis strain ATCC 336632 chromosome, complete genome",Pseudomonas chlororaphis,89.8,153,9%,1e-12,80.70,7108820,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP118140.1?report=genbank&log$=nucltop&blast_rank=45&RID=0G3J27JB016"",""CP118140.1"")"
"Pseudomonas chlororaphis subsp. aurantiaca strain M71 chromosome, complete genome",Pseudomonas chlororaphis subsp. aurantiaca,89.8,89.8,9%,1e-12,80.70,6807002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP027744.1?report=genbank&log$=nucltop&blast_rank=46&RID=0G3J27JB016"",""CP027744.1"")"
"Pseudomonas chlororaphis subsp. aurantiaca strain K27 chromosome, complete genome",Pseudomonas chlororaphis subsp. aurantiaca,89.8,89.8,9%,1e-12,80.70,6867699,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP027745.1?report=genbank&log$=nucltop&blast_rank=47&RID=0G3J27JB016"",""CP027745.1"")"
"Pseudomonas chlororaphis subsp. aurantiaca strain M12 chromosome, complete genome",Pseudomonas chlororaphis subsp. aurantiaca,89.8,213,9%,1e-12,80.70,6730980,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP027715.1?report=genbank&log$=nucltop&blast_rank=48&RID=0G3J27JB016"",""CP027715.1"")"
Pseudomonas chlororaphis subsp. aurantiaca strain B-162 chromosome,Pseudomonas chlororaphis subsp. aurantiaca,89.8,153,9%,1e-12,80.70,7109866,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP050510.1?report=genbank&log$=nucltop&blast_rank=49&RID=0G3J27JB016"",""CP050510.1"")"
"Pseudomonas chlororaphis strain LMG 21630 genome assembly, chromosome: I",Pseudomonas chlororaphis,89.8,153,9%,1e-12,80.70,7120591,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT629747.1?report=genbank&log$=nucltop&blast_rank=50&RID=0G3J27JB016"",""LT629747.1"")"
"Pseudomonas chlororaphis strain ATCC 336631 chromosome, complete genome",Pseudomonas chlororaphis,89.8,153,9%,1e-12,80.70,7109352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP118152.1?report=genbank&log$=nucltop&blast_rank=51&RID=0G3J27JB016"",""CP118152.1"")"
"Pseudomonas chlororaphis subsp. aurantiaca strain 449 chromosome, complete genome",Pseudomonas chlororaphis subsp. aurantiaca,89.8,89.8,9%,1e-12,80.70,6962068,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP027741.1?report=genbank&log$=nucltop&blast_rank=52&RID=0G3J27JB016"",""CP027741.1"")"
"Pseudomonas chlororaphis subsp. aurantiaca strain DSM 19603 chromosome, complete genome",Pseudomonas chlororaphis subsp. aurantiaca,89.8,153,9%,1e-12,80.70,7109779,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP027746.1?report=genbank&log$=nucltop&blast_rank=53&RID=0G3J27JB016"",""CP027746.1"")"
"Pseudomonas chlororaphis subsp. aurantiaca strain 464 chromosome, complete genome",Pseudomonas chlororaphis subsp. aurantiaca,89.8,89.8,9%,1e-12,80.70,6964452,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP027742.1?report=genbank&log$=nucltop&blast_rank=54&RID=0G3J27JB016"",""CP027742.1"")"
"Pseudomonas chlororaphis subsp. aurantiaca strain Q16 chromosome, complete genome",Pseudomonas chlororaphis subsp. aurantiaca,89.8,153,9%,1e-12,80.70,6928549,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP027718.1?report=genbank&log$=nucltop&blast_rank=55&RID=0G3J27JB016"",""CP027718.1"")"
"Pseudomonas chlororaphis subsp. aurantiaca DNA, complete genome, strain: StFRB508",Pseudomonas chlororaphis subsp. aurantiaca,89.8,89.8,9%,1e-12,80.70,6997933,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP014623.1?report=genbank&log$=nucltop&blast_rank=56&RID=0G3J27JB016"",""AP014623.1"")"
"Pseudomonas chlororaphis subsp. aurantiaca strain YL-21 chromosome, complete genome",Pseudomonas chlororaphis subsp. aurantiaca,89.8,89.8,9%,1e-12,80.70,6735028,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP177156.1?report=genbank&log$=nucltop&blast_rank=57&RID=0G3J27JB016"",""CP177156.1"")"
"Pseudomonas chlororaphis subsp. aurantiaca strain JD37, complete genome",Pseudomonas chlororaphis subsp. aurantiaca,89.8,221,9%,1e-12,80.70,6702062,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP009290.1?report=genbank&log$=nucltop&blast_rank=58&RID=0G3J27JB016"",""CP009290.1"")"
"Pseudomonas nunensis strain In5 chromosome, complete genome",Pseudomonas nunensis,87.9,87.9,11%,4e-12,77.55,7328926,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP101125.1?report=genbank&log$=nucltop&blast_rank=59&RID=0G3J27JB016"",""CP101125.1"")"
Pseudomonas putida strain PgBE89 chromosome,Pseudomonas putida,87.9,170,16%,4e-12,82.65,6299263,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP083988.1?report=genbank&log$=nucltop&blast_rank=60&RID=0G3J27JB016"",""CP083988.1"")"
"Pseudomonas sp. S150 chromosome, complete genome",Pseudomonas sp. S150,86.1,86.1,16%,1e-11,74.65,6304843,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP038207.1?report=genbank&log$=nucltop&blast_rank=61&RID=0G3J27JB016"",""CP038207.1"")"
"Pseudomonas koreensis strain FP1691 chromosome, complete genome",Pseudomonas koreensis,86.1,86.1,16%,1e-11,74.65,6304592,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP111114.1?report=genbank&log$=nucltop&blast_rank=62&RID=0G3J27JB016"",""CP111114.1"")"
"Pseudomonas sp. 9.2(2024) chromosome, complete genome",Pseudomonas sp. 9.2(2024),86.1,219,11%,1e-11,77.18,6270960,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP155585.1?report=genbank&log$=nucltop&blast_rank=63&RID=0G3J27JB016"",""CP155585.1"")"
"Pseudomonas chlororaphis subsp. piscium strain SLPH10 chromosome, complete genome",Pseudomonas chlororaphis subsp. piscium,84.2,84.2,9%,5e-11,79.82,7227643,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP027710.1?report=genbank&log$=nucltop&blast_rank=64&RID=0G3J27JB016"",""CP027710.1"")"
"Pseudomonas chlororaphis subsp. piscium strain ZJU60 chromosome, complete genome",Pseudomonas chlororaphis subsp. piscium,84.2,166,10%,5e-11,79.82,6818002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP027656.1?report=genbank&log$=nucltop&blast_rank=65&RID=0G3J27JB016"",""CP027656.1"")"
"Pseudomonas chlororaphis subsp. piscium strain ToZa7 chromosome, complete genome",Pseudomonas chlororaphis subsp. piscium,84.2,84.2,9%,5e-11,79.82,7015602,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP027739.1?report=genbank&log$=nucltop&blast_rank=66&RID=0G3J27JB016"",""CP027739.1"")"
"Pseudomonas chlororaphis strain X8 chromosome, complete genome",Pseudomonas chlororaphis,84.2,84.2,15%,5e-11,75.25,6777293,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP077678.1?report=genbank&log$=nucltop&blast_rank=67&RID=0G3J27JB016"",""CP077678.1"")"
"Pseudomonas chlororaphis subsp. piscium strain DTR133 chromosome, complete genome",Pseudomonas chlororaphis subsp. piscium,84.2,84.2,9%,5e-11,79.82,7064618,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP027735.1?report=genbank&log$=nucltop&blast_rank=68&RID=0G3J27JB016"",""CP027735.1"")"
"Pseudomonas chlororaphis subsp. aurantiaca strain zm-1 chromosome, complete genome",Pseudomonas chlororaphis subsp. aurantiaca,84.2,208,9%,5e-11,79.82,6861331,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP048051.1?report=genbank&log$=nucltop&blast_rank=69&RID=0G3J27JB016"",""CP048051.1"")"
"Pseudomonas chlororaphis subsp. piscium strain PCL1607 chromosome, complete genome",Pseudomonas chlororaphis subsp. piscium,84.2,84.2,9%,5e-11,79.82,6913645,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP027737.1?report=genbank&log$=nucltop&blast_rank=70&RID=0G3J27JB016"",""CP027737.1"")"
"Pseudomonas chlororaphis subsp. aurantiaca strain IRHB3 chromosome, complete genome",Pseudomonas chlororaphis subsp. aurantiaca,84.2,84.2,9%,5e-11,79.82,6904256,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP133110.1?report=genbank&log$=nucltop&blast_rank=71&RID=0G3J27JB016"",""CP133110.1"")"
"Pseudomonas chlororaphis subsp. piscium strain ChPhzS140 chromosome, complete genome",Pseudomonas chlororaphis subsp. piscium,84.2,84.2,9%,5e-11,79.82,7074317,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP027740.1?report=genbank&log$=nucltop&blast_rank=72&RID=0G3J27JB016"",""CP027740.1"")"
"Pseudomonas chlororaphis subsp. aurantiaca Tre132 DNA, complete genome",Pseudomonas chlororaphis subsp. aurantiaca,84.2,84.2,9%,5e-11,79.82,6961699,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP020336.1?report=genbank&log$=nucltop&blast_rank=73&RID=0G3J27JB016"",""AP020336.1"")"
"Pseudomonas chlororaphis subsp. piscium strain ChPhzS135 chromosome, complete genome",Pseudomonas chlororaphis subsp. piscium,84.2,84.2,9%,5e-11,79.82,6940016,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP027738.1?report=genbank&log$=nucltop&blast_rank=74&RID=0G3J27JB016"",""CP027738.1"")"
"Pseudomonas chlororaphis subsp. piscium strain PCL1391 chromosome, complete genome",Pseudomonas chlororaphis subsp. piscium,84.2,84.2,9%,5e-11,79.82,6870622,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP027736.1?report=genbank&log$=nucltop&blast_rank=75&RID=0G3J27JB016"",""CP027736.1"")"
"Pseudomonas sp. B21-019 chromosome, complete genome",Pseudomonas sp. B21-019,84.2,84.2,9%,5e-11,79.67,6413006,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP087193.1?report=genbank&log$=nucltop&blast_rank=76&RID=0G3J27JB016"",""CP087193.1"")"
"Pseudomonas chlororaphis subsp. aurantiaca strain PCM 2210 chromosome, complete genome",Pseudomonas chlororaphis subsp. aurantiaca,84.2,148,9%,5e-11,79.82,6854483,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP027717.1?report=genbank&log$=nucltop&blast_rank=77&RID=0G3J27JB016"",""CP027717.1"")"
"Pseudomonas chlororaphis strain PCLAR04 chromosome, complete genome",Pseudomonas chlororaphis,84.2,84.2,9%,5e-11,79.82,7305652,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP054868.1?report=genbank&log$=nucltop&blast_rank=78&RID=0G3J27JB016"",""CP054868.1"")"
"Pseudomonas chlororaphis strain ZL3 chromosome, complete genome",Pseudomonas chlororaphis,84.2,84.2,15%,5e-11,75.25,6715612,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP172430.1?report=genbank&log$=nucltop&blast_rank=79&RID=0G3J27JB016"",""CP172430.1"")"
"Pseudomonas chlororaphis subsp. piscium strain ChPhzTR44 chromosome, complete genome",Pseudomonas chlororaphis subsp. piscium,84.2,84.2,9%,5e-11,79.82,6878216,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP027711.1?report=genbank&log$=nucltop&blast_rank=80&RID=0G3J27JB016"",""CP027711.1"")"
Pseudomonas fluorescens strain NEP1 genome,Pseudomonas fluorescens,84.2,226,15%,5e-11,76.82,6313875,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP022313.1?report=genbank&log$=nucltop&blast_rank=81&RID=0G3J27JB016"",""CP022313.1"")"
"Pseudomonas chlororaphis strain Pc01-6 chromosome, complete genome",Pseudomonas chlororaphis,84.2,84.2,15%,5e-11,75.25,6835850,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP166975.1?report=genbank&log$=nucltop&blast_rank=82&RID=0G3J27JB016"",""CP166975.1"")"
"Pseudomonas chlororaphis strain L5734 chromosome, complete genome",Pseudomonas chlororaphis,84.2,161,9%,5e-11,79.82,6880469,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP083442.1?report=genbank&log$=nucltop&blast_rank=83&RID=0G3J27JB016"",""CP083442.1"")"
"Pseudomonas chlororaphis strain ZH2 chromosome, complete genome",Pseudomonas chlororaphis,84.2,148,9%,5e-11,79.82,7249755,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP146886.1?report=genbank&log$=nucltop&blast_rank=84&RID=0G3J27JB016"",""CP146886.1"")"
"Pseudomonas chlororaphis subsp. aurantiaca strain CW2 chromosome, complete genome",Pseudomonas chlororaphis subsp. aurantiaca,84.2,144,9%,5e-11,79.82,6925198,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP027743.1?report=genbank&log$=nucltop&blast_rank=85&RID=0G3J27JB016"",""CP027743.1"")"
"Pseudomonas chlororaphis subsp. piscium strain PS5 chromosome, complete genome",Pseudomonas chlororaphis subsp. piscium,84.2,84.2,9%,5e-11,79.82,7107906,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP097271.1?report=genbank&log$=nucltop&blast_rank=86&RID=0G3J27JB016"",""CP097271.1"")"
"Pseudomonas chlororaphis strain PCLSL01 chromosome, complete genome",Pseudomonas chlororaphis,84.2,84.2,9%,5e-11,79.82,6989222,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP054865.1?report=genbank&log$=nucltop&blast_rank=87&RID=0G3J27JB016"",""CP054865.1"")"
